key,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,i
0.074_-0.037_-0.074,0.006687826942652464,0.15440043807029724,-0.8126451969146729,1.4319095611572266,-0.6899234056472778,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.001163766602985561,-0.010543357580900192,1.066287636756897,1.7110742330551147,-0.7145978212356567,0.06400074809789658,0.4925752580165863,-2.169520378112793,3.1538329124450684,-0.9885398149490356,0.0,0.0,0.0,0.0,0.0,0.0,-0.007061493117362261,1.2037241458892822,6.636722087860107,13.989121437072754,-7.349751949310303,1.0029535293579102,-0.0031396697741001844,0.08349594473838806,0.061651844531297684,-0.08672244846820831,4.152400947532442e-07,0.0,-2.258226777485106e-05,0
0.074_-0.037_-0.074,0.007948890328407288,0.16037516295909882,-0.7680164575576782,1.331953525543213,-0.6346297264099121,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.0009772860212251544,0.01799485832452774,1.1478530168533325,1.9659032821655273,-0.887885332107544,0.05923746898770332,0.13626617193222046,0.06195497512817383,-1.5307092666625977,1.4654701948165894,0.0,0.0,0.0,0.0,0.0,0.0,-0.03475835174322128,1.4305835962295532,1.5030694007873535,7.932094097137451,-6.43117618560791,1.0090175867080688,0.04566298797726631,0.062396518886089325,0.015903279185295105,-0.037750519812107086,2.75258059900807e-07,0.0,-3.341507908771746e-05,1
0.074_-0.037_-0.074,0.008702369406819344,0.1561940461397171,-0.7973759174346924,1.367255687713623,-0.640551745891571,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.00023829028941690922,0.04008455574512482,1.0749815702438354,1.9378138780593872,-0.9327127933502197,0.04257003962993622,-0.1743219792842865,-0.16564345359802246,-0.7643618583679199,0.9309180974960327,0.0,0.0,0.0,0.0,0.0,0.0,-0.056480396538972855,1.1761659383773804,-2.944960117340088,0.2883882522583008,-3.2358298301696777,0.9866414666175842,-0.030521318316459656,0.0485270731151104,-0.0253857783973217,-0.004490993916988373,-1.3373751244216692e-06,0.0,-5.1001959946006536e-05,2
0.074_-0.037_-0.074,0.009047538973391056,0.14544081687927246,-0.8345782160758972,1.4211554527282715,-0.6571540832519531,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.0018404006259515882,0.051927775144577026,0.9363421201705933,1.7698992490768433,-0.9034596681594849,0.021704647690057755,-0.4672274887561798,-0.6894364356994629,0.7007603645324707,-0.005750000476837158,0.0,0.0,0.0,0.0,0.0,0.0,-0.07074566930532455,0.651897668838501,-5.797938823699951,-5.977723121643066,0.1789565086364746,0.975906491279602,-0.085317462682724,0.04251383617520332,-0.07029899954795837,0.019442439079284668,-3.218542133254232e-06,0.0,-6.661748921032995e-05,3
0.074_-0.037_-0.074,0.009042849764227867,0.1296975463628769,-0.84731525182724,1.4330040216445923,-0.6561076045036316,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.003483559936285019,0.051999110728502274,0.7921035885810852,1.5630532503128052,-0.840840756893158,0.0008710846304893494,-0.7585111856460571,-0.6014717817306519,0.7745401859283447,-0.16409724950790405,0.0,0.0,0.0,0.0,0.0,0.0,-0.07843513786792755,0.0228501558303833,-6.784121036529541,-9.444106101989746,2.6610255241394043,0.9898244142532349,-0.04911758005619049,0.0440039299428463,-0.12033900618553162,0.036121346056461334,-4.602054104907438e-06,0.0,-7.524068496422842e-05,4
0.074_-0.037_-0.074,0.00871337205171585,0.10936596989631653,-0.8288407325744629,1.3860783576965332,-0.6274672150611877,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.005040949676185846,0.04061470180749893,0.6779364347457886,1.3810758590698242,-0.7729975581169128,-0.0182788148522377,-1.0498287677764893,0.14320611953735352,-0.758845329284668,0.6259021759033203,0.0,0.0,0.0,0.0,0.0,0.0,-0.08169032633304596,-0.5898323059082031,-6.104470729827881,-9.878630638122559,3.776153087615967,1.0214015245437622,0.0900472030043602,0.05174786224961281,-0.17243105173110962,0.04516203701496124,-5.1065867410216015e-06,0.0,-7.500167703256011e-05,5
0.074_-0.037_-0.074,0.008060647174715996,0.08444131165742874,-0.7892726063728333,1.2944358587265015,-0.5752103328704834,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.006524554453790188,0.019459448754787445,0.6096475124359131,1.2568143606185913,-0.7169960141181946,-0.035739362239837646,-1.3279061317443848,1.1102240085601807,-3.0227317810058594,1.921880841255188,0.0,0.0,0.0,0.0,0.0,0.0,-0.08290131390094757,-1.1051764488220215,-4.260322093963623,-7.865662574768066,3.606872081756592,1.0512522459030151,0.30618664622306824,0.06375914812088013,-0.2209479659795761,0.04543358087539673,-4.668782821681816e-06,0.0,-6.652317097177729e-05,6
0.074_-0.037_-0.074,0.0070746284909546375,0.05516791343688965,-0.7470772862434387,1.1895344257354736,-0.5123639702796936,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.008009818382561207,-0.008899646811187267,0.5881949663162231,1.1990439891815186,-0.6806820631027222,-0.05225443094968796,-1.566318154335022,1.7296955585479736,-4.761850357055664,3.038883686065674,0.0,0.0,0.0,0.0,0.0,0.0,-0.08388049155473709,-1.4773952960968018,-1.8855891227722168,-4.436444282531738,2.550459384918213,1.0552730560302734,0.5541767477989197,0.07755396515130997,-0.2596060335636139,0.036451756954193115,-3.465075451458688e-06,0.0,-5.2187213441357017e-05,7
0.074_-0.037_-0.074,0.005747110117226839,0.022506803274154663,-0.72142094373703,1.1076195240020752,-0.45603179931640625,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.009571249596774578,-0.0414813831448555,0.6047752499580383,1.1996862888336182,-0.6648048758506775,-0.06853418797254562,-1.7297598123550415,1.5684986114501953,-4.924057483673096,3.358734607696533,0.0,0.0,0.0,0.0,0.0,0.0,-0.08531209826469421,-1.6898634433746338,0.40319252014160156,-0.7313413619995117,1.1311869621276855,1.0117807388305664,0.7862256765365601,0.09046472609043121,-0.28307101130485535,0.019306570291519165,-1.826084826461738e-06,0.0,-3.536773147061467e-05,8
0.074_-0.037_-0.074,0.0040856110863387585,-0.011642485857009888,-0.7260691523551941,1.0789415836334229,-0.42270392179489136,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.011234903708100319,-0.07530525326728821,0.6456096172332764,1.240875005722046,-0.665285050868988,-0.08466098457574844,-1.7806442975997925,0.5034685134887695,-3.0532851219177246,2.549424171447754,0.0,0.0,0.0,0.0,0.0,0.0,-0.08654457330703735,-1.7483563423156738,2.1258015632629395,2.2767515182495117,-0.1576991081237793,0.9074610471725464,0.9645684361457825,0.10000786185264587,-0.2881222367286682,-0.002992585301399231,-1.4886006738379365e-07,0.0,-1.968047217815183e-05,9
