key,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,i
0.222_0.037_0.185,0.03409357741475105,0.14473792910575867,-0.8040294647216797,1.461132526397705,-0.7276628017425537,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.0054587251506745815,0.07670573890209198,1.200541377067566,1.5263762474060059,-0.3958406150341034,-0.1111295223236084,0.7372409701347351,-3.1462347507476807,3.701549768447876,-0.5646637678146362,0.0,0.0,0.0,0.0,0.0,0.0,0.5253845453262329,0.07592810690402985,8.848733901977539,19.93121910095215,-11.083162307739258,1.0029535293579102,-0.0031396697741001844,0.197666734457016,0.15096697211265564,-0.08650416880846024,5.4143438319442794e-05,0.0,0.0007213111384771764,0
0.222_0.037_0.185,0.030524371191859245,0.16071096062660217,-0.7546447515487671,1.3238937854766846,-0.6399143934249878,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.005926585290580988,0.061140112578868866,1.258484959602356,1.9055672883987427,-0.7170190811157227,-0.22900107502937317,0.7405672669410706,-0.8543508052825928,-2.286911725997925,3.1362147331237793,0.0,0.0,0.0,0.0,0.0,0.0,0.7163972854614258,-0.7470678687095642,-0.7417078018188477,12.954590797424316,-13.693458557128906,1.0090175867080688,0.04566298797726631,0.1577436625957489,0.10088634490966797,-0.0147547647356987,7.967519923113286e-05,0.0,0.0011244381312280893,1
0.222_0.037_0.185,0.02474520355463028,0.16401709616184235,-0.8022339940071106,1.361631989479065,-0.6301186680793762,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.020234333351254463,0.041145168244838715,1.0972272157669067,1.928804636001587,-0.901439905166626,-0.29186350107192993,0.3105607330799103,-0.858461856842041,-1.3190982341766357,2.175358295440674,0.0,0.0,0.0,0.0,0.0,0.0,0.7152480483055115,-1.0758165121078491,-7.325611114501953,3.3965911865234375,-10.718119621276855,0.9866414666175842,-0.030521318316459656,0.13472938537597656,0.056414373219013214,0.023602433502674103,0.00011763020302169025,0.0,0.0016920267371460795,2
0.222_0.037_0.185,0.01801338605582714,0.1589626967906952,-0.8591131567955017,1.4271504878997803,-0.6387497186660767,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.03255346417427063,0.019633430987596512,0.8569885492324829,1.7692161798477173,-0.9820257425308228,-0.32769501209259033,-0.18761122226715088,-1.1616359949111938,0.6562819480895996,0.5057555437088013,0.0,0.0,0.0,0.0,0.0,0.0,0.5824155211448669,-1.1457834243774414,-10.575447082519531,-4.807821273803711,-5.763892650604248,0.975906491279602,-0.085317462682724,0.134213387966156,0.013112768530845642,0.04325149208307266,0.00015106922364793718,0.0,0.0021796817891299725,3
0.222_0.037_0.185,0.010915135964751244,0.1488213986158371,-0.8856179714202881,1.4442030191421509,-0.6292250752449036,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.040432825684547424,-0.0019630491733551025,0.6293919682502747,1.5503162145614624,-0.9906824827194214,-0.35323503613471985,-0.5665886998176575,-0.9886918067932129,0.9867827892303467,0.005049705505371094,0.0,0.0,0.0,0.0,0.0,0.0,0.3778950572013855,-1.1154358386993408,-10.79039192199707,-9.693649291992188,-1.094447135925293,0.9898244142532349,-0.04911758005619049,0.15541164577007294,-0.029614463448524475,0.05196476727724075,0.00016991945449262857,0.0,0.0024458528496325016,4
0.222_0.037_0.185,0.0036549903452396393,0.1358056366443634,-0.8767094016075134,1.3916245698928833,-0.5854291915893555,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.04330277070403099,-0.023245960474014282,0.4650803804397583,1.351545810699463,-0.9562215805053711,-0.37475720047950745,-0.772118866443634,-0.3668081760406494,-0.6593949794769287,1.0320497751235962,0.0,0.0,0.0,0.0,0.0,0.0,0.15539902448654175,-1.0776642560958862,-8.696998596191406,-10.829334259033203,2.1325082778930664,1.0214015245437622,0.0900472030043602,0.19286301732063293,-0.06981952488422394,0.052882350981235504,0.00017013642354868352,0.0,0.0024378332309424877,5
0.222_0.037_0.185,-0.0036812759935855865,0.12111788243055344,-0.8483707308769226,1.2862763404846191,-0.5082571506500244,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.04187238961458206,-0.04440438002347946,0.3823336362838745,1.2151304483413696,-0.9025968313217163,-0.38969266414642334,-0.8369545340538025,0.27463650703430176,-3.259686231613159,2.9930825233459473,0.0,0.0,0.0,0.0,0.0,0.0,-0.04253000020980835,-1.0729306936264038,-5.245534896850586,-8.850536346435547,3.602686882019043,1.0512522459030151,0.30618664622306824,0.23825837671756744,-0.10428068041801453,0.04668188840150833,0.00015263287059497088,0.0,0.0021745620761066675,6
0.222_0.037_0.185,-0.010916639119386673,0.1050918772816658,-0.8248303532600403,1.1659178733825684,-0.4112642705440521,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.0375443659722805,-0.06580314040184021,0.37619489431381226,1.15394127368927,-0.8476395010948181,-0.3891262114048004,-0.836722195148468,0.4501962661743164,-5.31702995300293,4.876029968261719,0.0,0.0,0.0,0.0,0.0,0.0,-0.187963604927063,-1.1034268140792847,-1.4167709350585938,-4.995092391967773,3.573423385620117,1.0552730560302734,0.5541767477989197,0.2822877764701843,-0.12964051961898804,0.0334472730755806,0.00012201011122670025,0.0,0.0017269111704081297,7
0.222_0.037_0.185,-0.017650172114372253,0.08742612600326538,-0.8277130722999573,1.0733190774917603,-0.31562110781669617,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.03189380466938019,-0.08764249086380005,0.4274987578392029,1.1599172353744507,-0.8024500608444214,-0.36107364296913147,-0.8514018654823303,-0.12339401245117188,-5.573976516723633,5.70644998550415,0.0,0.0,0.0,0.0,0.0,0.0,-0.2691202759742737,-1.147331714630127,1.9444823265075684,-0.6743812561035156,2.6115713119506836,1.0117807388305664,0.7862256765365601,0.3163693845272064,-0.14331009984016418,0.014050118625164032,8.515263471053913e-05,0.0,0.0011964713921770453,8
0.222_0.037_0.185,-0.023220356553792953,0.06749890744686127,-0.8681822419166565,1.04298734664917,-0.24469485878944397,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.026255646720528603,-0.1097223311662674,0.5111494064331055,1.2124934196472168,-0.7715564966201782,-0.29430168867111206,-0.935918390750885,-1.3844422101974487,-3.4916064739227295,4.8834004402160645,0.0,0.0,0.0,0.0,0.0,0.0,-0.28966403007507324,-1.1721550226211548,4.253294944763184,2.882322311401367,1.3617839813232422,0.9074610471725464,0.9645684361457825,0.3341088891029358,-0.14404985308647156,-0.009103246033191681,4.976845229975879e-05,0.0,0.0006941686733625829,9
0.222_0.037_0.185,-0.026771683245897293,0.04473888874053955,-0.9428861141204834,1.0917932987213135,-0.21872347593307495,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.021457666531205177,-0.13133493065834045,0.6029765009880066,1.2864240407943726,-0.7538608908653259,-0.18227238953113556,-1.1028008460998535,-2.913707733154297,0.5565438270568848,2.361813545227051,0.0,0.0,0.0,0.0,0.0,0.0,-0.2657250165939331,-1.1460959911346436,5.2529497146606445,4.878053665161133,0.36455726623535156,0.7414829730987549,1.0692636966705322,0.332344114780426,-0.13217103481292725,-0.03203921392560005,2.298449180671014e-05,0.0,0.0003202746738679707,10
0.222_0.037_0.185,-0.02741587534546852,0.01900571584701538,-1.0341359376907349,1.214505672454834,-0.25016745924949646,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.01772041618824005,-0.1512957364320755,0.6846485137939453,1.3583073616027832,-0.7442814111709595,-0.0266251340508461,-1.3183815479278564,-4.04809045791626,5.38378381729126,-1.3346822261810303,0.0,0.0,0.0,0.0,0.0,0.0,-0.2209119200706482,-1.046505331993103,5.019492149353027,5.0687408447265625,-0.059688568115234375,0.5272275805473328,1.1005767583847046,0.3116455078125,-0.10935172438621521,-0.04986978694796562,1.011716085486114e-05,0.0,0.00014757527969777584,11
0.222_0.037_0.185,-0.024460066109895706,-0.009079277515411377,-1.1141438484191895,1.3846911191940308,-0.3403831720352173,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.014723321422934532,-0.1681019365787506,0.7462294101715088,1.4112919569015503,-0.735863208770752,0.16053521633148193,-1.5124080181121826,-4.092852592468262,9.351845741271973,-5.260966777801514,0.0,0.0,0.0,0.0,0.0,0.0,-0.18002629280090332,-0.8647584319114685,3.902743339538574,3.745943069458008,0.14740848541259766,0.29126179218292236,1.0761182308197021,0.2761974632740021,-0.0781252533197403,-0.05797372758388519,1.3751021469943225e-05,0.0,0.00020929810125380754,12
0.222_0.037_0.185,-0.017653286457061768,-0.03792886435985565,-1.152431845664978,1.560794711112976,-0.478270947933197,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.011808041483163834,-0.1801842898130417,0.786401093006134,1.4374456405639648,-0.7219886779785156,0.3563236594200134,-1.5985710620880127,-2.5806357860565186,10.901114463806152,-8.324607849121094,0.0,0.0,0.0,0.0,0.0,0.0,-0.16256844997406006,-0.6072705984115601,2.413738250732422,1.5923919677734375,0.8141012191772461,0.06953370571136475,1.023828148841858,0.23304152488708496,-0.041171714663505554,-0.05341407284140587,3.324790668557398e-05,0.0,0.0004934422904625535,13
0.222_0.037_0.185,-0.0073881596326828,-0.0649821013212204,-1.124879240989685,1.696298599243164,-0.6414361000061035,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.00826633907854557,-0.18619857728481293,0.810477077960968,1.4377127885818481,-0.6982625722885132,0.5293959379196167,-1.5012099742889404,0.49525880813598633,9.11624526977539,-9.616338729858398,0.0,0.0,0.0,0.0,0.0,0.0,-0.1773892641067505,-0.2929227352142334,1.0788841247558594,-0.5562019348144531,1.6312618255615234,-0.09889066219329834,0.972835898399353,0.19076132774353027,-0.0006041973829269409,-0.036185186356306076,6.477868737420067e-05,0.0,0.0009443602757528424,14
0.222_0.037_0.185,0.005215605720877647,-0.08695712685585022,-1.0221182107925415,1.7520840167999268,-0.8000532984733582,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,0.0036318772472441196,-0.18528534471988678,0.8270189166069031,1.4195573329925537,-0.6635587215423584,0.6452539563179016,-1.181643009185791,4.555355072021484,4.15702486038208,-8.716045379638672,0.0,0.0,0.0,0.0,0.0,0.0,-0.21997344493865967,0.05221976339817047,0.2916555404663086,-1.988443374633789,2.280519485473633,-0.1796879768371582,0.9445798993110657,0.15778830647468567,0.04252658039331436,-0.009844645857810974,0.00010192676563747227,0.0,0.001471871044486761,15
0.222_0.037_0.185,0.018406318500638008,-0.10038067400455475,-0.8549801111221313,1.7080578804016113,-0.9232191443443298,0.3490700125694275,-0.45379000902175903,0.0,0.0,0.0,0.0,-0.0021105953492224216,-0.17722688615322113,0.8439053297042847,1.3928900957107544,-0.6199215650558472,0.6742638349533081,-0.6563611626625061,8.490217208862305,-2.6145131587982178,-5.876431465148926,0.0,0.0,0.0,0.0,0.0,0.0,-0.2735328674316406,0.40142858028411865,0.19761943817138672,-2.3601856231689453,2.562562942504883,-0.1514873504638672,0.9469365477561951,0.140590101480484,0.08828210085630417,0.018867380917072296,0.00013682428107131273,0.0,0.001967152813449502,16
